City,ST,Population,Country,Latitude,Longitude
Vacaville,CA,102526,United States,38.36666666666667,-121.96666666666667
Carmel,IN,102296,United States,39.96666666666667,-86.15
Palm Coast,FL,102113,United States,29.533333333333335,-81.23333333333333
Fayetteville,AR,101680,United States,36.06666666666667,-94.16666666666667
Quincy,MA,101597,United States,42.266666666666666,-71.01666666666667
San Mateo,CA,101327,United States,37.56666666666667,-122.31666666666666
Chico,CA,101301,United States,39.766666666666666,-121.81666666666666
Lynn,MA,101241,United States,42.46666666666667,-70.96666666666667
Albany,NY,101228,United States,42.666666666666664,-73.8
Yuma,AZ,100858,United States,32.516666666666666,-114.51666666666667
New Bedford,MA,100695,United States,41.666666666666664,-70.93333333333334
Suffolk,VA,100659,United States,36.7,-76.63333333333334
Hesperia,CA,100633,United States,34.4,-117.31666666666666
Davenport,IA,100354,United States,41.56666666666667,-90.6
